ID,Type of MB,Compound abbreviation,Types of contaminants,pH,Compound Mw (g/mol),Compound charge,Compound Kow,min projection (A),max projection (A),MB MWCO (Da),MB contact angle,MB zeta potential,Total charge,Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),compound size (nm),removal rate (%),reference,MWCO ref,MB contact angle ref,MB zeta potential ref,mem_material
883,NF270,CBP,Carbamazepine,8,236.274,0,2.766,4.48,5.76,340,73.16,-1,0,690,10,0.8,0.508,36,Elucidating the Rejection Mechanisms of PPCPs by Nano???ltration and Reverse Osmosis Membranes ,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,PPA
884,NF270,IBP,Ibuprofen,5,206.285,-0.5844,3.844,3.78,6.59,340,73.16,-1,0.5844,690,10,0.8,0.499,84,Elucidating the Rejection Mechanisms of PPCPs by Nano???ltration and Reverse Osmosis Membranes ,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,PPA
885,NF270,SFD,Sulfadiazine,3,250.28,0.0933,0.387,4.53,6.12,340,73.16,-1,-0.0933,690,10,0.8,0.527,56,Elucidating the Rejection Mechanisms of PPCPs by Nano???ltration and Reverse Osmosis Membranes ,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,PPA
886,NF270,SFD,Sulfadiazine,10,250.28,-0.999,0.387,4.53,6.12,340,73.16,-1,0.999,690,10,0.8,0.527,92,Elucidating the Rejection Mechanisms of PPCPs by Nano???ltration and Reverse Osmosis Membranes ,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,PPA
887,NF270,SFX,Sulfamethoxazole,8,253.28,-0.9857,0.791,5.4,5.88,340,73.16,-1,0.9857,690,10,0.8,0.563,86,Elucidating the Rejection Mechanisms of PPCPs by Nano???ltration and Reverse Osmosis Membranes ,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,PPA
888,NF270,SFZ,Sulfamethazine,5,278.33,-0.009,0.65,4.9,7.04,340,73.16,-1,0.009,690,10,0.8,0.587,89,Elucidating the Rejection Mechanisms of PPCPs by Nano???ltration and Reverse Osmosis Membranes ,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,PPA
889,NF270,TCS,Triclosan,3,289.54,0,4.982,4.17,6.55,340,73.16,-1,0,690,10,0.8,0.523,60,Elucidating the Rejection Mechanisms of PPCPs by Nano???ltration and Reverse Osmosis Membranes ,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,PPA
890,NF270,TCS,Triclosan,10,289.54,-0.9952,4.982,4.17,6.55,340,73.16,-1,0.9952,690,10,0.8,0.523,44,Elucidating the Rejection Mechanisms of PPCPs by Nano???ltration and Reverse Osmosis Membranes ,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Removal of haloacetic acids from swimming pool water by reverse osmosis and nano???ltration ,PPA
891,NF270,26DBA,"2,6-Dichlorobenzamide",7,190.02,0,2.032,4.29,4.8,340,17.5,-1,0,1000,10,0.001,0.454,31.591,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
892,NF270,26DBA,"2,6-Dichlorobenzamide",7,190.02,0,2.032,4.29,4.8,340,17.5,-1,0,1000,10,1,0.454,30.879,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
893,NF270,26DBA,"2,6-Dichlorobenzamide",7,190.02,0,2.032,4.29,4.8,340,17.5,-1,0,1000,10,5,0.454,26.603,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
894,NF270,26DBA,"2,6-Dichlorobenzamide",7,190.02,0,2.032,4.29,4.8,340,17.5,-1,0,1000,10,10,0.454,31.354,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
895,NF270,MCPA,MCPA,7,200.62,-1,2.411,4.18,6.37,340,17.5,-1,1,1000,10,0.001,0.516,92.637,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
896,NF270,MCPA,MCPA,7,200.62,-1,2.411,4.18,6.37,340,17.5,-1,1,1000,10,1,0.516,66.746,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
897,NF270,MCPA,MCPA,7,200.62,-1,2.411,4.18,6.37,340,17.5,-1,1,1000,10,5,0.516,44.656,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
898,NF270,MCPA,MCPA,7,200.62,-1,2.411,4.18,6.37,340,17.5,-1,1,1000,10,10,0.516,37.292,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
899,NF270,MCPP,Mecoprop,7,214.65,-1,2.56,4.1,5.64,340,17.5,-1,1,1000,10,0.001,0.481,90.024,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
900,NF270,MCPP,Mecoprop,7,214.65,-1,2.56,4.1,5.64,340,17.5,-1,1,1000,10,1,0.481,79.572,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
901,NF270,MCPP,Mecoprop,7,214.65,-1,2.56,4.1,5.64,340,17.5,-1,1,1000,10,5,0.481,61.52,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
902,NF270,MCPP,Mecoprop,7,214.65,-1,2.56,4.1,5.64,340,17.5,-1,1,1000,10,10,0.481,53.682,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment","Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
903,NF270,CFA,Clofibric acid,7,214.65,-1,2.899,3.5,6.2,340,31.3,-1,1,500,30,0.02,0.466,93.473,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
904,NF270,NPX,Naproxen,7,230.263,-1,2.986,3.92,7.3,340,31.3,-1,1,500,30,0.02,0.535,86.778,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
905,NF270,NDA,Nalidixic acid,7,232.239,-0.7816,0.786,5.16,6.36,340,31.3,-1,0.7816,500,30,0.02,0.573,92.971,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
906,NF270,CBP,Carbamazepine,7,236.274,0,2.766,4.48,5.76,340,31.3,-1,0,500,30,0.02,0.508,87.113,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
907,NF270,SFD,Sulfadiazine,7,250.28,-0.5058,0.387,4.53,6.12,340,31.3,-1,0.5058,500,30,0.02,0.527,90.46,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
908,NF270,GFB,Gemfibrozil,7,250.338,-1,4.39,4.99,7.43,340,31.3,-1,1,500,30,0.02,0.609,94.142,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
909,NF270,SFX,Sulfamethoxazole,7,253.28,-0.8735,0.791,5.4,5.88,340,31.3,-1,0.8735,500,30,0.02,0.563,92.971,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
910,NF270,PPL,Propanolol,7,259.349,1,2.584,4.66,7.41,340,31.3,-1,-1,500,30,0.02,0.588,89.121,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
911,NF270,MTR,Metoprolol,7,267.369,1,1.759,4.39,10.07,340,31.3,-1,-1,500,30,0.02,0.665,87.95,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
912,NF270,SFZ,Sulfamethazine,7,278.33,-0.5037,0.65,4.9,7.04,340,31.3,-1,0.5037,500,30,0.02,0.587,90.962,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
913,NF270,DCF,Diclofenac,7,296.15,-1,4.259,4.62,6.34,340,31.3,-1,1,500,30,0.02,0.541,94.142,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
914,NF270,NFX,Norfloxacin,7,319.336,0.0532,-0.97,5.16,7.44,340,31.3,-1,-0.0532,500,30,0.02,0.62,93.975,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
915,NF270,CPN,Chloramphenicol,7,323.13,-0.02,0.879,4.35,7.47,340,31.3,-1,0.02,500,30,0.02,0.57,95.983,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
916,NF270,CPF,Ciprofloxacin,7,331.347,0.0512,-0.863,5.02,7.48,340,31.3,-1,-0.0512,500,30,0.02,0.613,94.644,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
917,NF270,NAT,Nizatidine,7,331.45,0.2591,0.772,4.97,9.3,340,31.3,-1,-0.2591,500,30,0.02,0.68,90.962,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
918,NF270,SPR,Sulpiride,7,341.43,0.9603,0.219,5.52,7.14,340,31.3,-1,-0.9603,500,30,0.02,0.628,78.243,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
919,NF270,AMC,Ampicillin,7,349.41,-0.3711,-2.005,4.49,7.94,340,31.3,-1,0.3711,500,30,0.02,0.597,81.423,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
920,NF270,IDM,Indomethacin,7,357.79,-1,3.53,5.24,8.54,340,31.3,-1,1,500,30,0.02,0.669,97.49,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
921,NF270,CPH,Cephalexin hydrate,7,347.39,-0.3711,-2.142,4.74,6.38,340,31.3,-1,0.3711,500,30,0.02,0.55,92.803,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
922,NF270,DTZ,Diltiazem,7,414.52,0.9374,2.727,6.13,8.5,340,31.3,-1,-0.9374,500,30,0.02,0.722,99.833,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
923,NF270,ETM,Erythromycin,7,733.937,1,2.596,6.83,9.32,340,31.3,-1,-1,500,30,0.02,0.798,99.833,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
924,NF270,RXT,Roxithromycin,7,837.058,0.9918,3,9.12,10.83,340,31.3,-1,-0.9918,500,30,0.02,0.994,100,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
925,NF270,CFA,Clofibric acid,7,214.65,-1,2.899,3.5,6.2,340,31.3,-1,1,500,1440,0.02,0.466,93.473,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
926,NF270,NPX,Naproxen,7,230.263,-1,2.986,3.92,7.3,340,31.3,-1,1,500,1440,0.02,0.535,100,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
927,NF270,NDA,Nalidixic acid,7,232.239,-0.7816,0.786,5.16,6.36,340,31.3,-1,0.7816,500,1440,0.02,0.573,93.473,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
928,NF270,CBP,Carbamazepine,7,236.274,0,2.766,4.48,5.76,340,31.3,-1,0,500,1440,0.02,0.508,87.782,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
929,NF270,SFD,Sulfadiazine,7,250.28,-0.5058,0.387,4.53,6.12,340,31.3,-1,0.5058,500,1440,0.02,0.527,92.134,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
930,NF270,GFB,Gemfibrozil,7,250.338,-1,4.39,4.99,7.43,340,31.3,-1,1,500,1440,0.02,0.609,93.808,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
931,NF270,SFX,Sulfamethoxazole,7,253.28,-0.8735,0.791,5.4,5.88,340,31.3,-1,0.8735,500,1440,0.02,0.563,93.808,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
932,NF270,PPL,Propanolol,7,259.349,1,2.584,4.66,7.41,340,31.3,-1,-1,500,1440,0.02,0.588,70.711,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
933,NF270,MTR,Metoprolol,7,267.369,1,1.759,4.39,10.07,340,31.3,-1,-1,500,1440,0.02,0.665,81.255,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
934,NF270,SFZ,Sulfamethazine,7,278.33,-0.5037,0.65,4.9,7.04,340,31.3,-1,0.5037,500,1440,0.02,0.587,93.138,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
935,NF270,DCF,Diclofenac,7,296.15,-1,4.259,4.62,6.34,340,31.3,-1,1,500,1440,0.02,0.541,93.473,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
936,NF270,NFX,Norfloxacin,7,319.336,0.0532,-0.97,5.16,7.44,340,31.3,-1,-0.0532,500,1440,0.02,0.62,97.49,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
937,NF270,CPN,Chloramphenicol,7,323.13,-0.02,0.879,4.35,7.47,340,31.3,-1,0.02,500,1440,0.02,0.57,96.987,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
938,NF270,CPF,Ciprofloxacin,7,331.347,0.0512,-0.863,5.02,7.48,340,31.3,-1,-0.0512,500,1440,0.02,0.613,95.649,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
939,NF270,NAT,Nizatidine,7,331.45,0.2591,0.772,4.97,9.3,340,31.3,-1,-0.2591,500,1440,0.02,0.68,90.962,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
940,NF270,SPR,Sulpiride,7,341.43,0.9603,0.219,5.52,7.14,340,31.3,-1,-0.9603,500,1440,0.02,0.628,82.092,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
941,NF270,AMC,Ampicillin,7,349.41,-0.3711,-2.005,4.49,7.94,340,31.3,-1,0.3711,500,1440,0.02,0.597,92.636,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
942,NF270,IDM,Indomethacin,7,357.79,-1,3.53,5.24,8.54,340,31.3,-1,1,500,1440,0.02,0.669,95.314,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
943,NF270,CPH,Cephalexin hydrate,7,347.39,-0.3711,-2.142,4.74,6.38,340,31.3,-1,0.3711,500,1440,0.02,0.55,94.812,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
944,NF270,DTZ,Diltiazem,7,414.52,0.9374,2.727,6.13,8.5,340,31.3,-1,-0.9374,500,1440,0.02,0.722,88.452,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
945,NF270,ETM,Erythromycin,7,733.937,1,2.596,6.83,9.32,340,31.3,-1,-1,500,1440,0.02,0.798,94.477,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
946,NF270,RXT,Roxithromycin,7,837.058,0.9918,3,9.12,10.83,340,31.3,-1,-0.9918,500,1440,0.02,0.994,97.155,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes",,,PPA
947,NF70,ANL,Aniline,7,93.129,0.0044,1.144,3.41,4.06,350,54.1,-1,-0.0044,1500,10,1.66304,0.372,42.3,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
948,NF70,BZA,Benzoic acid,7,122.123,-1,1.631,3.58,4.73,350,54.1,-1,1,1500,10,100,0.412,69.3,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
949,NF70,BZC,Benzylalcohol,7,108.14,0,1.206,3.36,4.64,350,54.1,-1,0,1500,10,0.62766,0.395,76.7,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
950,NF70,BZT,Benzonitrile,7,103.124,0,1.829,3.41,4.52,350,54.1,-1,0,1500,10,0.4604,0.393,40.1,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
951,NF70,CGR,Congo red,7,696.66,-2,3.572,6.35,14.21,350,54.1,-1,2,1500,10,40,0.95,100,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
952,NF70,CHX,Cyclohexanon,7,98.145,0,1.488,3.45,3.83,350,54.1,-1,0,1500,10,1.75268,0.364,80.4,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
953,NF70,CPL,Caprolactam,7,113.16,0,0.31,3.92,4.01,350,54.1,-1,0,1500,10,200,0.396,71.2,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
954,NF70,EAT,Ethylacetate,7,87.099,-0.992,0.922,2.73,4.04,350,54.1,-1,0.992,1500,10,1.37688,0.332,60.9,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
955,NF70,EOS,Eosin,7,670.884,-2,6.201,6.25,6.93,350,54.1,-1,2,1500,10,15,0.658,99.1,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
956,NF70,ETN,Ethanol,7,46.069,0,-0.162,2.39,3.23,350,54.1,-1,0,1500,10,0.82268,0.278,28.2,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
957,NF70,GLT,Galactose,7,180.156,0,-2.933,4.02,4.61,350,54.1,-1,0,1500,10,500,0.43,95.1,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",Biofouling characteristics using ???ow ???eld-???ow fractionation: Effect of bacteria and membrane properties,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,Impact of natural water colloids and cations on the rejection of pharmaceutically active and endocrine disrupting compounds by nano???ltration,PA
